title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
The Interview,United States,"September 1, 2021",United States,"September 1, 2021",,,,,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",2014,R,112 min,"Action & Adventure, Comedies",Movie
The Water Man,United States,"August 25, 2021","United Kingdom, United States","February 3, 2015",,,,,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",2021,PG,92 min,"Children & Family Movies, Dramas",Movie
The Defeated,,"August 18, 2021",,"January 30, 2021",,,,,,"Taylor Kitsch, Nina Hoss, Logan Marshall-Green, Michael C. Hall, Tuppence Middleton, Mala Emde, Maximilian Ehrenreich, Sebastian Koch, Anne Ratte-Polle, Lena Dörrie, Benjamin Sadler",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
Rascal Does Not Dream of Bunny Girl Senpai,Japan,"August 15, 2021",Japan,"October 3, 2018",,,,,,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",TV Show
30 Rock,United States,"August 1, 2021",United States,"October 1, 2017",,,,,,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy",2012,TV-14,7 Seasons,TV Comedies,TV Show
Darwin’s Game,,"August 1, 2021",Japan,"May 1, 2020",,,,,,"Yusuke Kobayashi, Reina Ueda, Nichika Omori, Taku Yashiro, Yumiri Hanamori, Ai Kayano, Takehito Koyasu, Yoshitsugu Matsuoka",2020,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers",TV Show
Friday Night Lights,,"August 1, 2021",,"April 20, 2018",,,,,,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",TV Show
The Losers,"United States, France","August 1, 2021",United States,"July 6, 2020",,,,,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James",2010,PG-13,97 min,Action & Adventure,Movie
The Walking Dead,United States,"July 26, 2021",United States,"August 3, 2021",,,,,,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas",TV Show
Chicago Med,United States,"July 22, 2021",United States,"November 12, 2020",,,,,,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden",2019,TV-14,5 Seasons,TV Dramas,TV Show
Born to Play,United States,"July 12, 2021",,"June 15, 2021",,,,,Viridiana Lieberman,,2020,TV-MA,93 min,"Documentaries, Sports Movies",Movie
Last Summer,,"July 9, 2021","Sweden, Denmark, United States","November 10, 2018",,,,,,"Fatih Şahin, Ece Çeşmioğlu, Halit Özgür Sarı, Aslıhan Malbora, Eray Ertüren, Eren Ören, Ozan Kaya Oktu, Talha Öztürk, Merve Nur Bengi, Sümeyye Aydoğan",2021,TV-MA,102 min,"Dramas, International Movies, Romantic Movies",Movie
Midnight Sun,United States,"July 8, 2021","Sweden, France","December 1, 2017",,,,,Scott Speer,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew, Tiera Skovbye, Ken Tremblett, Norm Misura, Austin Obiajunwa, Nicholas Coombe",2018,PG-13,91 min,"Dramas, Romantic Movies",Movie
My Little Pony: Friendship Is Magic,"United States, Canada","July 6, 2021",,"January 31, 2020",,,,,,"Ashleigh Ball, Tabitha St. Germain, Tara Strong, Andrea Libman, Cathy Weseluck, Nicole Oliver",2018,TV-Y,8 Seasons,Kids' TV,TV Show
The 8th Night,South Korea,"July 2, 2021",,"April 30, 2021",,,,,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal",2021,TV-14,116 min,"Horror Movies, International Movies, Thrillers",Movie
Air Force One,"United States, Germany","July 1, 2021",,"October 1, 2021",,,,,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell, Xander Berkeley, Bill Smitrovich, Elya Baskin, David Vadim, Tom Everett, Spencer Garrett, Philip Baker Hall",1997,R,125 min,Action & Adventure,Movie
Midnight Run,United States,"July 1, 2021","Sweden, France","December 1, 2017",,,,,Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina, Joe Pantoliano, Richard Foronjy, Robert Miranda, Jack Kehoe, Wendy Phillips, Philip Baker Hall",1988,R,126 min,"Action & Adventure, Classic Movies, Comedies",Movie
Sailor Moon Crystal,,"July 1, 2021",Japan,"April 4, 2016",,,,,,"Kotono Mitsuishi, Hisako Kanemoto, Rina Satou, Ami Koshimizu, Shizuka Ito, Ryo Hirohashi, Kenji Nojima, Misa Watanabe",2016,TV-Y7,3 Seasons,"Anime Series, Kids' TV",TV Show
The American,"United States, United Kingdom","July 1, 2021",United States,"July 1, 2020",,,,,Anton Corbijn,"George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen, Irina Björklund, Filippo Timi, Anna Foglietta, Björn Granath",2010,R,105 min,"Dramas, Thrillers",Movie
The Game,United States,"July 1, 2021",,"February 1, 2021",,,,,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",1997,R,129 min,Thrillers,Movie
Underworld,"United States, United Kingdom, Germany, Hungary","July 1, 2021",,"July 1, 2021",,,,,Len Wiseman,"Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robbie Gee, Wentworth Miller, Kevin Grevioux",2003,R,121 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Movie
Underworld: Awakening,"United States, Canada","July 1, 2021",,"July 1, 2021",,,,,"Måns Mårlind, Björn Stein","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley, Sandrine Holt, Charles Dance, Kris Holden-Ried, Jacob Blair, Adam Greydon Reid",2012,R,89 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Movie
Underworld: Rise of the Lycans,"United States, New Zealand","July 1, 2021",,"July 1, 2021",,,,,Patrick Tatopoulos,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux, David Aston, Geraldine Brophy, Leighton Cardno, Alex Carroll, Elizabeth Hawthorne, Jason Hood",2009,R,92 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Movie
Wanted,,"June 28, 2021",United Kingdom,"January 14, 2017",,,,,Nibal Arakji,"Daad Rizk, Georges Diab, Sihame Haddad, Georges Boukhalil, Aida Sabra, Pierre Rabbat, Myriam Klink, Dory El Samarany, Josyane Boulos",2019,TV-14,90 min,"Comedies, International Movies",Movie
The Judgement,Thailand,"June 19, 2021",,"April 30, 2021",,,,,,"Lapassalal Jiravechsoontornkul, Nontanun Anchuleepradit, Thanabordee Jaiyen, Pamiga Sooksawee, Pongsathon Laiwrakoran, Nara Thepnupa, Premanan Sripanich, Tanutchai Wijitvongtong, Wasu Sansingkeaw, Arpasiri Nitipon",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
The Last Dance,United States,"June 19, 2021",,"July 19, 2021",,,,,,"Michael Jordan, Scottie Pippen, Dennis Rodman",2020,TV-MA,1 Season,Docuseries,TV Show
Mobile Suit Gundam I,,"June 18, 2021",Japan,"February 20, 2017",,,,,"Yoshiyuki Tomino, Yoshikazu Yasuhiko","Toru Furuya, Shuichi Ikeda, Hirotaka Suzuoki, Rumiko Ukai, Fuyumi Shiraishi, Yo Inoue, Toshio Furukawa, Kiyonobu Suzuki, Keiko Toda, Shozo Iizuka",1981,TV-14,139 min,"Action & Adventure, Anime Features, Classic Movies",Movie
The Gift,Turkey,"June 17, 2021",United States,"July 1, 2021",,,,,,"Beren Saat, Mehmet Günsür, Metin Akdülger, Melisa Şenolsun, Başak Köklükaya, Civan Canova, Tim Seyfi, Meral Çetinkaya, Hazal Türesan, Cezmi Baskın",2021,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Mysteries",TV Show
A Perfect Ending,United States,"June 2, 2021",,"May 15, 2021",,,,,Nicole Conn,"Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson",2012,TV-MA,110 min,"Dramas, Independent Movies, LGBTQ Movies",Movie
Attack on Titan,Japan,"June 2, 2021",Japan,"December 6, 2020",,,,,,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Yu Shimamura, Yu Kobayashi, Shiori Mikami, Hiro Shimono, Ryota Osaka, Yoshimasa Hosoya, Tomohisa Hashizume, Saki Fujita, Hiroshi Kamiya, Daisuke Ono, Romi Park, Keiji Fujiwara, Kazuhiro Yamaji, Yusaku Yara, Takehito Koyasu",2013,TV-MA,1 Season,"Anime Series, International TV Shows",TV Show
Cocomelon,United States,"June 2, 2021",,"March 1, 2021",,,,,,,2021,TV-Y,3 Seasons,Kids' TV,TV Show
Happy Endings,United States,"June 2, 2021",United States,"January 1, 2016",,,,,,"Eliza Coupe, Elisha Cuthbert, Zachary Knighton, Adam Pally, Damon Wayans Jr., Casey Wilson",2012,TV-14,3 Seasons,TV Comedies,TV Show
Mosquita y Mari,United States,"June 2, 2021",,"May 15, 2021",,,,,Aurora Guerrero,"Fenessa Pineda, Venecia Troncoso, Joaquín Garrido, Laura Patalano, Dulce Maria Solis, Marisela Uscanga, Melissa Uscanga, Omar Leyva, Tonita Castro, Paul Alayo",2012,TV-14,85 min,"Dramas, Independent Movies, LGBTQ Movies",Movie
Ouran High School Host Club,Japan,"June 2, 2021",Japan,"June 3, 2011",,,,,Takuya Igarashi,"Maaya Sakamoto, Mamoru Miyano, Masaya Matsukaze, Kenichi Suzumura, Keisuke Oda, Ayaka Saito, Daisuke Kirii",2006,TV-PG,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows",TV Show
The Girl King,,"June 2, 2021","Finland, Germany, Canada, Sweden, France","February 1, 2020",,,,,Mika Kaurismäki,"Malin Buska, Sarah Gadon, Michael Nyqvist, Lucas Bryant, Laura Birn, Hippolyte Girardot, Peter Lohmeyer, François Arnaud, Patrick Bachau, Ville Virtanen, Martina Gedeck",2015,TV-MA,106 min,"Dramas, International Movies, LGBTQ Movies",Movie
Then Came You,United States,"June 2, 2021",,"February 11, 2021",,,,,Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess",2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",Movie
JoJo's Bizarre Adventure,Japan,"May 26, 2021",Japan,"January 11, 2017",,,,,,"Kazuyuki Okitsu, Tomokazu Sugita, Daisuke Ono, Unsho Ishizuka, Kensho Ono, Takehito Koyasu, Yoku Shioya, Yoji Ueda, Ayako Kawasumi, Takuya Sato, Atsuko Tanaka, Atsushi Imaruoka, Daisuke Hirakawa, Fuminori Komatsu, Kenta Miyake, Misato Fukuen, Yuki Kaji, Wataru Takagi, Takahiro Sakurai, Yuichi Nakamura, Junichi Suwabe, Kohsuke Toriumi, Daiki Yamashita, Junya Enoki",2016,TV-MA,3 Seasons,"Anime Series, International TV Shows",TV Show
Special,United States,"May 20, 2021",Japan,"January 15, 2016",,,,,,"Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle, Augustus Prew, Patrick Fabian",2021,TV-MA,2 Seasons,TV Comedies,TV Show
The Last Days,United States,"May 19, 2021",,"July 19, 2021",,,,,James Moll,,1998,PG-13,87 min,Documentaries,Movie
Framing John DeLorean,United States,"May 5, 2021",United States,"November 5, 2019",,,,,"Don Argott, Sheena M. Joyce","Alec Baldwin, Josh Charles, Morena Baccarin, Dean Winters, Michael Rispoli, Dana Ashbrook, Jason Jones, Josh Cooke, Sean Cullen, William Hill",2019,TV-MA,109 min,"Documentaries, Dramas",Movie
The Clovehitch Killer,United States,"May 4, 2021",United States,"May 4, 2019",,,,,Duncan Skiles,"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty, Brenna Sherman, Lance Chantiles-Wertz, Emma Jones, Jonathan Riggs",2018,TV-MA,109 min,"Dramas, Independent Movies, Thrillers",Movie
American Me,United States,"April 17, 2021",,"August 26, 2018",,,,,Edward James Olmos,"Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Domingo Ambriz",1992,R,126 min,Dramas,Movie
Durarara!!,Japan,"April 15, 2021",Japan,"January 31, 2020",,,,,,"Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum",2016,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows",TV Show
Sonic X,Japan,"April 15, 2021",Japan,"June 29, 2013",,,,,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",2003,TV-Y7,2 Seasons,"Anime Series, Kids' TV",TV Show
The Master,United States,"April 15, 2021",,"April 4, 2021",,,,,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson",2012,R,137 min,"Dramas, Independent Movies",Movie
Thunder Force,United States,"April 9, 2021",,"August 12, 2021",,,,,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",2021,PG-13,107 min,"Action & Adventure, Comedies",Movie
Yu-Gi-Oh!,Japan,"March 31, 2021",Japan,"March 7, 2011",,,,,,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",2005,TV-Y7,1 Season,"Anime Series, Kids' TV",TV Show
The One,United Kingdom,"March 12, 2021","United Kingdom, France, United States","December 24, 2020",,,,,,"Hannah Ware, Zoë Tapper, Dimitri Leonidas, Amir El-Masry, Lois Chimimba, Eric Kofi-Abrefa, Pallavi Sharda, Jana Pérez, Diarmaid Murtagh, Gregg Chillin, Wilf Scolding, Stephen Campbell Moore, Simone Kirby, Albano Jerónimo, Eduardo Lloveras, Miguel Amorim",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",TV Show
The Houseboat,Germany,"March 9, 2021",,"October 20, 2017",,,,,,"Olli Schulz, Fynn Kliemann",2021,TV-14,1 Season,"Docuseries, International TV Shows",TV Show
No Escape,"United States, Thailand","February 26, 2021",United States,"January 17, 2021",,,,,John Erick Dowdle,"Owen Wilson, Lake Bell, Pierce Brosnan, Sterling Jerins, Claire Geare, Thanawut Ketsaro, Chatchawai Kamonsakpitak, Sahajak Boonthanakit",2015,R,103 min,Action & Adventure,Movie
Good Girls,United States,"February 16, 2021",United States,"March 8, 2021",,,,,,"Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford",2020,TV-MA,3 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",TV Show
The Crew,United States,"February 15, 2021","Ireland, France","July 1, 2020",,,,,,"Kevin James, Sarah Stiles, Jillian Mueller, Freddie Stroma, Gary Anthony Williams, Dan Ahdoot",2021,TV-14,1 Season,TV Comedies,TV Show
Middle of Nowhere,United States,"February 11, 2021",United States,"December 31, 2019",,,,,Ava DuVernay,"Emayatzy Corinealdi, David Oyelowo, Omari Hardwick, Lorraine Toussaint, Edwina Findley Dickerson, Sharon Lawrence, Nehemiah Sutton, Troy Curvey III, Maya Gilbert, Dondre T. Whitfield",2012,R,102 min,"Dramas, Independent Movies, Romantic Movies",Movie
Red Dot,Sweden,"February 11, 2021","United States, Costa Rica","May 21, 2020",,,,,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon, Johannes Kuhnke, Tomas Bergström, Kalled Mustonen, Anna Azcárate",2021,TV-MA,86 min,"International Movies, Thrillers",Movie
The Sinner,United States,"February 6, 2021",United States,"May 1, 2020",,,,,,"Jessica Biel, Bill Pullman, Christopher Abbott, Abby Miller, Dohn Norwood",2020,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",TV Show
Black Beach,"Spain, Belgium, United States","February 3, 2021",,"March 11, 2021",,,,,Esteban Crespo,"Raúl Arévalo, Candela Peña, Paulina García, Claude Musungayi, Babou Cham, Lidia Nené, Melina Matthews, Emilio Buale, Mulie Jarju, Jimmy Castro, Fenda Drame, Dairon Tallon, Teresita Evuy, Olivier Bony",2020,TV-MA,116 min,"Action & Adventure, International Movies",Movie
Heartland,Canada,"February 1, 2021",,"March 10, 2021",,,,,,"Amber Marshall, Michelle Morgan, Graham Wardle, Shaun Johnston, Chris Potter, Jessica Amlee, Kerry James, Nathaniel Arcand",2019,TV-14,13 Seasons,TV Dramas,TV Show
Demon Slayer: Kimetsu no Yaiba,Japan,"January 22, 2021",Japan,"October 10, 2021",,,,,,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Nobuhiko Okamoto, Toshiyuki Morikawa, Aoi Yuki, Shiori Izawa, Daisuke Namikawa, Takumi Yamazaki, Hikaru Midorikawa, Takehito Koyasu",2019,TV-14,1 Season,"Anime Series, International TV Shows",TV Show
The Intouchables,France,"January 11, 2021",,"October 1, 2021",,,,,"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux, Clotilde Mollet, Alba Gaïa Kraghede Bellugi, Cyril Mendy",2011,R,112 min,"Comedies, Dramas, International Movies",Movie
Shaun the Sheep,"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland","December 22, 2020",,"September 1, 2021",,,,,,"John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen",2016,TV-Y,2 Seasons,"British TV Shows, Kids' TV, TV Comedies",TV Show
Morphle,Netherlands,"December 17, 2020",,"May 20, 2020",,,,,,,2020,TV-Y,2 Seasons,"British TV Shows, Kids' TV",TV Show
The Wedding Shaman,,"December 17, 2020",,"September 1, 2021",,,,,Farishad I. Latjuba,"Atiqah Hasiholan, Tutie Kirana, Arifin Putra, Tio Pakusadewo, Marthino Lio, Oxcel, Dodit Mulyanto",2019,TV-PG,111 min,"Dramas, International Movies, Romantic Movies",Movie
The Ripper,United Kingdom,"December 16, 2020",United States,"October 2, 2019",,,,,"Ellena Wood, Jesse Vile",,2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV Show
The Challenge,United States,"December 15, 2020",,"February 26, 2021",,,,,,"Jamie Chung, Landon Lueck, Diem Brown, Mike 'The Miz' Mizanin, Darrell Taylor, Wes Bergmann, Jodi Weatherton, Brad Fiorenza, Cara Maria Sorbello, Zachary Nichols, Turabi ""Turbo"" Çamkıran, Theo Campbell",2006,TV-14,2 Seasons,Reality TV,TV Show
The Prom,United States,"December 11, 2020",,"October 4, 2021",,,,,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Andrew Rannells, Keegan-Michael Key, Jo Ellen Pellman, Ariana DeBose, Mary Kay Place, Kevin Chamberlin, Tracey Ullman, Logan Riley, Sofia Deler, Nico Greetham, Nathaniel J. Potvin",2020,PG-13,132 min,"Comedies, LGBTQ Movies, Music & Musicals",Movie
Angels & Demons,"United States, Italy","December 1, 2020","United States, Italy","December 1, 2020",,,,,Ron Howard,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino, Nikolaj Lie Kaas, Armin Mueller-Stahl, Thure Lindhardt, David Pasquesi, Cosimo Fusco",2009,PG-13,139 min,Thrillers,Movie
Are You The One,United States,"December 1, 2020",,"May 1, 2021",,,,,,Ryan Devlin,2014,TV-14,2 Seasons,Reality TV,TV Show
Stargate SG-1,"United States, Canada","December 1, 2020","United States, Canada","June 29, 2019",,,,,,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones",2006,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show
The Bachelorette,United States,"December 1, 2020",United States,"October 20, 2021",,,,,,,2010,TV-14,1 Season,"Reality TV, Romantic TV Shows",TV Show
The Da Vinci Code,"United States, Malta, France, United Kingdom","December 1, 2020","United States, Malta, France, United Kingdom","December 1, 2020",,,,,Ron Howard,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany, Alfred Molina, Jürgen Prochnow, Jean-Yves Berteloot, Etienne Chicot, Jean-Pierre Marielle",2006,PG-13,149 min,Thrillers,Movie
The Call,South Korea,"November 27, 2020",,"January 5, 2021",,,,,Lee Chung-hyun,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young",2020,TV-MA,112 min,"International Movies, Thrillers",Movie
The Suit,Egypt,"November 23, 2020",United States,"October 1, 2021",,,,,Mohammad Adel,"Tamer Hosny, Akram Hosny, Amina Khalil, Dalal Abdelaziz, Maged El-Masri, Yasser Ali Maher, Salwa Mohammed, Mahmoud El-Bezzawy, Hassan Hosny, Taher Abu Lela, Ahmed Zaher",2018,TV-14,97 min,"Action & Adventure, Comedies, International Movies",Movie
A Very Country Christmas,"United States, Canada","November 15, 2020",United States,"April 25, 2014",,,,,Justin G. Dyck,"Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack",2017,TV-G,84 min,"Music & Musicals, Romantic Movies",Movie
